"File","Title","Description","DescLen","Category","Draft","Chars","H2","H3","HasFAQ","HasIntro","HasSummary","InternalLinks","Risky"
"2026-05-10-birthstone-september.md","9月の誕生石｜サファイア（ラピスラズリ、アイオライト）の意味と効果・選び方","9月の誕生石「サファイア（ラピスラズリ、アイオライト）」の意味・効果・身につけ方・相性のよい石まで総合的に解説します。","59","powerstones","true","732","7","0","False","True","True","0",""
"2026-05-10-blue-topaz.md","ブルートパーズの意味・石言葉・効果｜誠実な言葉を運ぶ「11月の青の石」","ブルートパーズの石言葉・歴史、コミュニケーション・目標達成・誠実にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。11月の誕生石としても知られる澄んだ青の石を生活に取り入れるための保存版です。","114","powerstones","false","3403","13","1","True","True","True","6",""
"2026-05-10-career-change-luck-stones.md","【転職運】転職運アップに本当に効くパワーストーン10選","転職運を高めたい人に向けて、本当に効くと言われるパワーストーン10種を紹介。各石の意味・相性・使い方まで解説します。","58","powerstones","true","813","5","10","False","True","True","0",""
"2026-05-10-carnelian.md","カーネリアンの意味・石言葉・効果｜ナポレオンも携えた「行動と達成の朱赤の石」","カーネリアンの石言葉・歴史、行動力・勝利・達成にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。古代エジプトの王の墓からナポレオンの戦地まで時代を超えて愛される朱赤の石を生活に取り入れるための保存版です。","120","powerstones","false","3012","12","1","True","True","True","6",""
"2026-05-10-charoite.md","チャロアイトの意味・石言葉・効果｜ロシアでしか採れない「世界三大ヒーリングストーン」","チャロアイト（Charoite）の意味・石言葉「変容・邪気払い・霊性」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。ロシアでしか採れない「世界三大ヒーリングストーン」の基礎と実践がこの1ページで分かります。","115","powerstones","false","1441","10","1","False","True","True","0",""
"2026-05-10-chrysocolla.md","クリソコラの意味・石言葉・効果｜「マザーアース」を象徴する女性性の石","クリソコラ（Chrysocolla）の意味・石言葉「女性性・母なる地球・コミュニケーション」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。「マザーアース」を象徴する女性性の石の基礎と実践がこの1ページで分かります。","119","powerstones","false","1499","10","1","False","True","True","0",""
"2026-05-10-chrysoprase.md","クリソプレーズの意味・石言葉・効果｜アップルグリーンが芽吹かせる「成長の石」","クリソプレーズ（Chrysoprase）の意味・石言葉「希望・新しい愛・成長」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。アップルグリーンが芽吹かせる「成長の石」の基礎と実践がこの1ページで分かります。","114","powerstones","false","1463","10","1","False","True","True","0",""
"2026-05-10-citrine.md","シトリン（黄水晶）の意味・石言葉・効果｜「商売繁盛の石」と呼ばれる金運の象徴","シトリンの石言葉・歴史・効果の言い伝え、金運に活かす方法、相性のよい組み合わせ、鉱物学的特徴、よくある質問までを総合的に解説。「商売繁盛の石」と呼ばれる黄水晶を生活に取り入れるための保存版です。","97","powerstones","false","3140","13","1","True","True","True","6",""
"2026-05-10-clear-quartz.md","水晶（クリスタル）の意味・石言葉・効果｜万能の浄化石・あらゆる石の基本となる存在","水晶（クリスタル）の石言葉・歴史・効果の言い伝え、浄化のしくみ、組み合わせ、鉱物学的特徴、よくある質問までを総合的に解説。あらゆる石の基本となる「マスタークリスタル」を生活に取り入れるための保存版です。","101","powerstones","false","4630","14","1","True","True","True","5",""
"2026-05-10-enoshima-jinja.md","江島神社の参拝ガイド｜神奈川県のパワースポット完全攻略","江島神社（神奈川県藤沢市江の島2-3-8）の歴史・ご利益・参拝のポイント・おすすめのパワーストーン・周辺スポットまでを総合的に解説します。","69","powerspots","false","1054","11","0","False","True","True","0",""
"2026-05-10-eto-boar.md","亥（いのしし）年生まれにおすすめのパワーストーン｜干支×石の相性","亥（いのしし）年生まれの性格と運勢を支えるおすすめパワーストーンをヘマタイトを中心に紹介。干支別の選び方を解説します。","59","powerstones","false","617","7","0","False","True","True","0",""
"2026-05-10-eto-dog.md","戌（いぬ）年生まれにおすすめのパワーストーン｜干支×石の相性","戌（いぬ）年生まれの性格と運勢を支えるおすすめパワーストーンをガーネットを中心に紹介。干支別の選び方を解説します。","57","powerstones","false","599","7","0","False","True","True","0",""
"2026-05-10-eto-dragon.md","辰（たつ）年生まれにおすすめのパワーストーン｜干支×石の相性","辰（たつ）年生まれの性格と運勢を支えるおすすめパワーストーンをラピスラズリを中心に紹介。干支別の選び方を解説します。","58","powerstones","false","627","7","0","False","True","True","0",""
"2026-05-10-eto-horse.md","午（うま）年生まれにおすすめのパワーストーン｜干支×石の相性","午（うま）年生まれの性格と運勢を支えるおすすめパワーストーンをカーネリアンを中心に紹介。干支別の選び方を解説します。","58","powerstones","false","608","7","0","False","True","True","0",""
"2026-05-10-eto-monkey.md","申（さる）年生まれにおすすめのパワーストーン｜干支×石の相性","申（さる）年生まれの性格と運勢を支えるおすすめパワーストーンをシトリンを中心に紹介。干支別の選び方を解説します。","56","powerstones","false","598","7","0","False","True","True","0",""
"2026-05-10-eto-ox.md","丑（うし）年生まれにおすすめのパワーストーン｜干支×石の相性","丑（うし）年生まれの性格と運勢を支えるおすすめパワーストーンをアゲートを中心に紹介。干支別の選び方を解説します。","56","powerstones","false","596","7","0","False","True","True","0",""
"2026-05-10-eto-rabbit.md","卯（うさぎ）年生まれにおすすめのパワーストーン｜干支×石の相性","卯（うさぎ）年生まれの性格と運勢を支えるおすすめパワーストーンをローズクォーツを中心に紹介。干支別の選び方を解説します。","60","powerstones","false","618","7","0","False","True","True","0",""
"2026-05-10-eto-rat.md","子（ねずみ）年生まれにおすすめのパワーストーン｜干支×石の相性","子（ねずみ）年生まれの性格と運勢を支えるおすすめパワーストーンをシトリンを中心に紹介。干支別の選び方を解説します。","57","powerstones","false","594","7","0","False","True","True","0",""
"2026-05-10-eto-rooster.md","酉（とり）年生まれにおすすめのパワーストーン｜干支×石の相性","酉（とり）年生まれの性格と運勢を支えるおすすめパワーストーンをソーダライトを中心に紹介。干支別の選び方を解説します。","58","powerstones","false","613","7","0","False","True","True","0",""
"2026-05-10-eto-sheep.md","未（ひつじ）年生まれにおすすめのパワーストーン｜干支×石の相性","未（ひつじ）年生まれの性格と運勢を支えるおすすめパワーストーンをローズクォーツを中心に紹介。干支別の選び方を解説します。","60","powerstones","false","617","7","0","False","True","True","0",""
"2026-05-10-eto-snake.md","巳（へび）年生まれにおすすめのパワーストーン｜干支×石の相性","巳（へび）年生まれの性格と運勢を支えるおすすめパワーストーンをアメジストを中心に紹介。干支別の選び方を解説します。","57","powerstones","false","606","7","0","False","True","True","0",""
"2026-05-10-eto-tiger.md","寅（とら）年生まれにおすすめのパワーストーン｜干支×石の相性","寅（とら）年生まれの性格と運勢を支えるおすすめパワーストーンをタイガーアイを中心に紹介。干支別の選び方を解説します。","58","powerstones","false","598","7","0","False","True","True","0",""
"2026-05-10-fengshui-bedroom-stones.md","寝室に置きたいパワーストーン｜睡眠の質と恋愛運を整える石7選","1日の3分の1を過ごす寝室は、運気の充電所。睡眠の質を高め、恋愛運や癒しを呼び込むパワーストーン7選と置き方を解説します。","61","luck-habits","false","1782","8","17","False","True","True","0",""
"2026-05-10-fengshui-desk-stones.md","仕事部屋・デスクに置くパワーストーン｜集中力と仕事運を上げる石7選","在宅ワークが当たり前になった今、デスク周りの「気」を整えることが集中力と仕事運に直結します。デスク向けパワーストーン7選と配置を解説。","67","luck-habits","false","1806","7","19","False","True","True","0",""
"2026-05-10-fengshui-direction-stones.md","方角別パワーストーン早見表｜八方位 × 五行 × 願い別の配置完全ガイド","風水の八方位ごとに最適なパワーストーンを早見表で完全網羅。北は仕事、南は名声、東は健康――方角と願いから逆引きできるガイドです。","64","luck-habits","false","2211","6","13","False","True","True","0",""
"2026-05-10-fengshui-entrance-stones.md","玄関に置きたいパワーストーン｜風水で「気の入口」を整える石8選","玄関は家のすべての気が入ってくる「気の入口」。風水的に最も重要な玄関に置くべきパワーストーン8選と、置き方のコツを解説します。","63","luck-habits","false","1689","7","13","False","True","True","0",""
"2026-05-10-fengshui-powerstone-basics.md","風水×パワーストーン｜気の流れを整える石の置き方の基本","風水とパワーストーンを組み合わせ、家やオフィスの「気」を整える方法を初心者向けに解説。方角・五行・色の対応から始めましょう。","62","luck-habits","false","1923","10","13","False","True","True","4",""
"2026-05-10-fertility-luck-stones.md","【子宝】子宝・安産に本当に効くパワーストーン10選","子宝を高めたい人に向けて、本当に効くと言われるパワーストーン10種を紹介。各石の意味・相性・使い方まで解説します。","57","powerstones","true","789","5","10","False","True","True","0",""
"2026-05-10-fluorite.md","フローライト（蛍石）の意味・石言葉・効果｜「天才の石」と呼ばれる集中の助力者","フローライト（蛍石）（Fluorite）の意味・石言葉「集中力・学業・頭脳明晰」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。「天才の石」と呼ばれる集中の助力者の基礎と実践がこの1ページで分かります。","112","powerstones","false","1466","10","1","False","True","True","0",""
"2026-05-10-fujisan-hongu-sengen-taisha.md","富士山本宮浅間大社の参拝ガイド｜霊峰富士を御神体とする全国浅間神社の総本宮","富士山本宮浅間大社（静岡県富士宮市宮町1-1）の歴史・ご利益・木花之佐久夜毘売命・湧玉池・奥宮・参拝のポイント・おすすめのパワーストーン・周辺スポットまでを総合的に解説。世界遺産・富士山信仰の中心地を訪れるための保存版です。","112","powerspots","false","3818","17","0","True","True","True","5",""
"2026-05-10-garnet.md","ガーネットの意味・石言葉・効果｜努力を実りに変える「勝利と情熱の石」","ガーネットの石言葉・歴史、勝負運・実りの結実・情熱にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。旧約聖書のノアの方舟に灯された伝説の赤い石を生活に取り入れるための保存版です。","107","powerstones","false","3218","12","1","True","True","True","6",""
"2026-05-10-health-luck-stones.md","【健康運】健康運アップに本当に効くパワーストーン10選","健康運を高めたい人に向けて、本当に効くと言われるパワーストーン10種を紹介。各石の意味・相性・使い方まで解説します。","58","powerstones","true","837","5","10","False","True","True","0",""
"2026-05-10-hematite.md","ヘマタイト（赤鉄鉱）の意味・石言葉・効果｜古代戦士の盾「勝利と活力の石」","ヘマタイト（赤鉄鉱）（Hematite）の意味・石言葉「勝利・活力・グラウンディング」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。古代戦士の盾「勝利と活力の石」の基礎と実践がこの1ページで分かります。","113","powerstones","false","1502","10","1","False","True","True","0",""
"2026-05-10-hieizan-enryakuji.md","比叡山延暦寺の参拝ガイド｜滋賀県のパワースポット完全攻略","比叡山延暦寺（滋賀県大津市坂本本町4220）の歴史・ご利益・参拝のポイント・おすすめのパワーストーン・周辺スポットまでを総合的に解説します。","70","powerspots","false","1073","11","0","False","True","True","0",""
"2026-05-10-hokkaido-jingu.md","北海道神宮の参拝ガイド｜開拓の祈りを継ぐ札幌の総鎮守","北海道神宮（北海道札幌市中央区宮ヶ丘474）の歴史・ご利益・開拓三神・参拝のポイント・円山公園・判官さま・桜・おすすめのパワーストーン・周辺スポットまでを総合的に解説。北海道の総鎮守を訪れるための保存版です。","104","powerspots","false","3392","15","0","True","True","True","5",""
"2026-05-10-how-to-wear-powerstones.md","パワーストーンの正しい身につけ方｜左右の使い分けと効果を最大化する場所","パワーストーンは左手と右手で意味が変わります。ブレスレット・ペンダント・指輪の正しい身につけ方と、効果を最大化する位置を完全解説。","65","powerstones","false","1971","11","8","False","True","True","0",""
"2026-05-10-imperial-topaz.md","インペリアルトパーズの意味・石言葉・効果｜ロシア皇帝に愛された「成功と威厳の石」","インペリアルトパーズ（Imperial Topaz）の意味・石言葉「皇帝の輝き・成功・自信」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。ロシア皇帝に愛された「成功と威厳の石」の基礎と実践がこの1ページで分かります。","120","powerstones","false","1502","10","1","False","True","True","0",""
"2026-05-10-iolite.md","アイオライト（菫青石）の意味・石言葉・効果｜ヴァイキングの羅針盤「進路を示す石」","アイオライト（菫青石）（Iolite）の意味・石言葉「羅針盤・進む道・ヴィジョン」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。ヴァイキングの羅針盤「進路を示す石」の基礎と実践がこの1ページで分かります。","114","powerstones","false","1502","10","1","False","True","True","0",""
"2026-05-10-itsukushima-jinja.md","厳島神社の参拝ガイド｜海に浮かぶ世界遺産、宮島のパワースポット完全攻略","厳島神社（広島県廿日市市宮島町）の歴史・ご利益・潮汐に合わせた参拝のポイント・大鳥居・弥山・おすすめのパワーストーン・周辺スポットまでを総合的に解説。平清盛が造営した世界遺産の社を訪れるための保存版です。","102","powerspots","false","3408","15","0","True","True","True","5",""
"2026-05-10-izumo-taisha.md","出雲大社 完全ガイド｜縁結びの聖地・島根の参拝術・パワーストーンとの相性まで","出雲大社の歴史・ご利益・参拝マナー（二礼四拍手一礼）・見どころ・アクセス・神在月の参拝術・相性のよいパワーストーン・FAQまでを総合的に解説。日本最古級の縁結びの聖地への参拝を完璧に準備するための保存版です。","104","powerspots","false","4698","15","9","True","True","True","5",""
"2026-05-10-jade.md","ヒスイ（翡翠）の意味・石言葉・効果｜東洋で「玉」と呼ばれる徳と繁栄の石","ヒスイの石言葉・歴史、繁栄・長寿・徳にまつわる言い伝え、ジェダイトとネフライトの違い、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。縄文時代から日本人が大切にしてきた緑の石を生活に取り入れるための保存版です。","114","powerstones","false","3435","13","1","True","True","True","6",""
"2026-05-10-kasuga-taisha.md","春日大社の参拝ガイド｜3000基の灯籠が灯る奈良の藤原氏ゆかりの社","春日大社（奈良県奈良市春日野町160）の歴史・ご利益・参拝のポイント・夫婦大國社・万燈籠神事・神鹿・おすすめのパワーストーン・周辺スポットまでを総合的に解説。世界遺産・古都奈良の文化財を訪れるための保存版です。","105","powerspots","false","3463","16","0","True","True","True","5",""
"2026-05-10-kirishima-jingu.md","霧島神宮の参拝ガイド｜鹿児島県のパワースポット完全攻略","霧島神宮（鹿児島県霧島市霧島田口2608-5）の歴史・ご利益・参拝のポイント・おすすめのパワーストーン・周辺スポットまでを総合的に解説します。","71","powerspots","false","1025","11","0","False","True","True","0",""
"2026-05-10-kumano-hongu-taisha.md","熊野本宮大社の参拝ガイド｜熊野古道の終点、蘇りの聖地完全攻略","熊野本宮大社（和歌山県田辺市本宮町本宮）の歴史・ご利益・参拝のポイント・大斎原・八咫烏・熊野古道・おすすめのパワーストーン・周辺スポットまでを総合的に解説。世界遺産・紀伊山地の霊場と参詣道の中核を訪れるための保存版です。","110","powerspots","false","3659","16","0","True","True","True","5",""
"2026-05-10-kunzite.md","クンツァイトの意味・石言葉・効果｜「マザーオブラブ」の優しい母性","クンツァイト（Kunzite）の意味・石言葉「無条件の愛・癒し・母性」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。「マザーオブラブ」の優しい母性の基礎と実践がこの1ページで分かります。","105","powerstones","false","1475","10","1","False","True","True","0",""
"2026-05-10-kurama-dera.md","鞍馬寺の参拝ガイド｜京都府のパワースポット完全攻略","鞍馬寺（京都府京都市左京区鞍馬本町1074）の歴史・ご利益・参拝のポイント・おすすめのパワーストーン・周辺スポットまでを総合的に解説します。","70","powerspots","false","1094","11","0","False","True","True","0",""
"2026-05-10-labradorite.md","ラブラドライトの意味・石言葉・効果｜オーロラを宿した「霊性と直感の石」","ラブラドライト（Labradorite）の意味・石言葉「直感・霊性・魔除け」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。オーロラを宿した「霊性と直感の石」の基礎と実践がこの1ページで分かります。","110","powerstones","false","1472","10","1","False","True","True","0",""
"2026-05-10-lapis-lazuli.md","ラピスラズリの意味・石言葉・効果｜古代エジプトから愛される「天空を象る石」","ラピスラズリの石言葉・歴史・効果の言い伝え、人生の節目で活かす使い方、組み合わせ、鉱物学的特徴、よくある質問までを総合的に解説。ツタンカーメンも愛した世界最古のパワーストーンを生活に取り入れるための保存版です。","105","powerstones","false","4434","14","1","True","True","True","5",""
"2026-05-10-larimar.md","ラリマーの意味・石言葉・効果｜カリブの海を閉じ込めた「平和と癒しの石」","ラリマー（Larimar）の意味・石言葉「平和・癒し・母性」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。カリブの海を閉じ込めた「平和と癒しの石」の基礎と実践がこの1ページで分かります。","105","powerstones","false","1434","10","1","False","True","True","0",""
"2026-05-10-love-luck-stones.md","【恋愛運】恋愛運アップに本当に効くパワーストーン10選","恋愛運を高めたい人に向けて、本当に効くと言われるパワーストーン10種を紹介。各石の意味・相性・使い方まで解説します。","58","powerstones","true","929","5","10","False","True","True","0",""
"2026-05-10-malachite.md","マラカイトの意味・石言葉・効果｜全てを見通す目を持つ「危険察知の魔除け石」","マラカイトの石言葉・歴史、危険察知・癒し・母性にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。古代エジプトから中世ロシアまで子供のお守りとして愛された深緑の石を生活に取り入れるための保存版です。","116","powerstones","false","3139","12","1","True","True","True","5",""
"2026-05-10-marriage-luck-stones.md","【結婚運】結婚運アップに本当に効くパワーストーン10選","結婚運を高めたい人に向けて、本当に効くと言われるパワーストーン10種を紹介。各石の意味・相性・使い方まで解説します。","58","powerstones","true","845","5","10","False","True","True","0",""
"2026-05-10-meiji-jingu.md","明治神宮の参拝ガイド｜70万㎡の鎮守の杜が広がる東京の最大パワースポット","明治神宮（東京都渋谷区代々木神園町1-1）の歴史・ご利益・参拝のポイント・清正井・夫婦楠・初詣の混雑情報・おすすめのパワーストーン・周辺スポットまでを総合的に解説。原宿駅徒歩1分の鎮守の杜を完全攻略するための保存版です。","110","powerspots","false","3297","15","0","True","True","True","5",""
"2026-05-10-mitsumine-jinja.md","三峯神社の参拝ガイド｜埼玉県のパワースポット完全攻略","三峯神社（埼玉県秩父市三峰298-1）の歴史・ご利益・参拝のポイント・おすすめのパワーストーン・周辺スポットまでを総合的に解説します。","67","powerspots","false","1023","11","0","False","True","True","0",""
"2026-05-10-money-luck-stones.md","【金運】金運アップに本当に効くパワーストーン10選","金運を高めたい人に向けて、本当に効くと言われるパワーストーン10種を紹介。各石の意味・相性・使い方まで解説します。","57","powerstones","true","856","5","10","False","True","True","0",""
"2026-05-10-moon-phases-and-stones.md","月の満ち欠けとパワーストーンの関係｜新月・満月・上弦・下弦の活かし方","新月・満月・上弦・下弦――月の満ち欠けに合わせて、パワーストーンの浄化・チャージ・願掛けを使い分ける方法を完全解説します。","61","luck-habits","false","2024","10","9","False","True","True","0",""
"2026-05-10-moonstone.md","ムーンストーンの意味・石言葉・効果｜月の女神に守られる「直感と新しい始まりの石」","ムーンストーンの石言葉・歴史、女性性・直感・新月にまつわる言い伝え、相性のよい組み合わせ、鉱物データ、よくある質問までを総合的に解説。古代インドからローマまで月の化身として崇められた乳白の石を生活に取り入れるための保存版です。","113","powerstones","false","3225","12","1","True","True","True","6",""
"2026-05-10-morganite.md","モルガナイトの意味・石言葉・効果｜アクアマリンと姉妹の「愛と結婚の石」","モルガナイト（Morganite）の意味・石言葉「優しさ・結婚・愛の成就」と効果、こんな人におすすめ、相性のよい石、浄化方法までを総合的に解説。アクアマリンと姉妹の「愛と結婚の石」の基礎と実践がこの1ページで分かります。","110","powerstones","false","1475","10","1","False","True","True","0",""
