"File","Slug","Title","DescLen","Chars","Links","FAQ"
"2026-05-10-purification-complete-guide.md","purification-complete-guide","パワーストーンの浄化方法完全ガイド｜10種類の方法と石別の向き不向き","68","2075","0","N"
"2026-05-10-powerstone-beginner-guide.md","powerstone-beginner-guide","パワーストーン入門｜初心者が最初に知っておきたい全知識","66","2102","5","N"
"2026-05-10-tigers-eye.md","tigers-eye","タイガーアイの意味・石言葉・効果｜虎の目で本質を見抜く「決断と金運の石」","119","2990","5","Y"
"2026-05-10-carnelian.md","carnelian","カーネリアンの意味・石言葉・効果｜ナポレオンも携えた「行動と達成の朱赤の石」","120","3012","6","Y"
"2026-05-10-onyx.md","onyx","オニキスの意味・石言葉・効果｜漆黒の輝きで負を断ち切る「守護と意志の石」","118","3031","6","Y"
"2026-05-10-turquoise.md","turquoise","ターコイズの意味・石言葉・効果｜旅と空のお守り「スカイストーン」","118","3129","6","Y"
"2026-05-10-aquamarine.md","aquamarine","アクアマリンの意味・石言葉・効果｜海の女神に守られる「平穏と結婚の青の石」","113","3132","6","Y"
"2026-05-10-aventurine.md","aventurine","アベンチュリンの意味・石言葉・効果｜森林浴のような癒しを宿す「インドのヒスイ」","119","3135","6","Y"
"2026-05-10-malachite.md","malachite","マラカイトの意味・石言葉・効果｜全てを見通す目を持つ「危険察知の魔除け石」","116","3139","5","Y"
"2026-05-10-citrine.md","citrine","シトリン（黄水晶）の意味・石言葉・効果｜「商売繁盛の石」と呼ばれる金運の象徴","97","3140","6","Y"
"2026-05-10-peridot.md","peridot","ペリドットの意味・石言葉・効果｜夜にも輝く「太陽の宝石」","114","3189","7","Y"
"2026-05-10-amazonite.md","amazonite","アマゾナイトの意味・石言葉・効果｜アマゾン女戦士の伝説を宿す「希望と勇気の石」","102","3206","6","Y"
"2026-05-10-garnet.md","garnet","ガーネットの意味・石言葉・効果｜努力を実りに変える「勝利と情熱の石」","107","3218","6","Y"
"2026-05-10-moonstone.md","moonstone","ムーンストーンの意味・石言葉・効果｜月の女神に守られる「直感と新しい始まりの石」","113","3225","6","Y"
"2026-05-10-amber.md","amber","アンバー（琥珀）の意味・石言葉・効果｜数千万年の時を閉じ込めた「太陽の石」","111","3280","6","Y"
"2026-05-10-blue-topaz.md","blue-topaz","ブルートパーズの意味・石言葉・効果｜誠実な言葉を運ぶ「11月の青の石」","114","3403","6","Y"
"2026-05-10-opal.md","opal","オパールの意味・石言葉・効果｜虹色の遊色を秘めた「希望と創造の石」","120","3434","7","Y"
"2026-05-10-jade.md","jade","ヒスイ（翡翠）の意味・石言葉・効果｜東洋で「玉」と呼ばれる徳と繁栄の石","114","3435","6","Y"
"2026-05-10-obsidian.md","obsidian","オブシディアンの意味・石言葉・効果｜本質を映し出す「真実の鏡」","123","3464","6","Y"
"2026-05-10-amethyst.md","amethyst","アメジスト（紫水晶）の意味・石言葉・効果｜古代ローマから愛される「真実の愛の石」","110","4378","5","Y"
"2026-05-10-lapis-lazuli.md","lapis-lazuli","ラピスラズリの意味・石言葉・効果｜古代エジプトから愛される「天空を象る石」","105","4434","5","Y"
"2026-05-10-clear-quartz.md","clear-quartz","水晶（クリスタル）の意味・石言葉・効果｜万能の浄化石・あらゆる石の基本となる存在","101","4630","5","Y"
"2026-05-09-rose-quartz-meaning.md","rose-quartz-meaning","ローズクォーツの意味・石言葉・効果｜恋愛運を高める使い方・浄化方法まで完全ガイド","97","4748","5","Y"
"2026-05-11-birthstone-guide.md","birthstone-guide","12ヶ月の誕生石総合ガイド｜あなたの月の石・意味・相性・身につけ方","81","5140","5","Y"
"2026-05-12-how-to-choose-powerstones.md","how-to-choose-powerstones","パワーストーンの選び方 完全ガイド｜目的・誕生石・色・直感から自分に合う1石を見つける","93","5203","27","Y"
"2026-05-11-zodiac-powerstones-guide.md","zodiac-powerstones-guide","12星座別おすすめパワーストーン総合ガイド｜あなたの守り石を見つける","93","5552","6","Y"
"2026-05-11-luck-powerstones-complete-guide.md","luck-powerstones-complete-guide","目的別パワーストーン総合ガイド｜恋愛・金運・仕事・健康など10ジャンルの守り石","98","5615","5","Y"
